Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Equatorial Guinea,GNQ,6.43,6.55,6.69,7.07,7.3,7.08,7.26,7.27,7.38,7.45,7.55,7.61,7.72,7.81,7.84,7.9,7.96,8.03,8.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Eritrea,ERI,1402.39,1371.95,1395.44,1365.63,1321.61,1314.84,1337.01,1337.26,1350.54,1375.7,1360.59,1370.65,1404.14,1346.64,1383.63,1442.5,1398.28,1398.64,1461.18,2180,2190,2250,1850,1880,1910,2170,2490,2620,2690,2790,2590,2560,2650,2690,2730,2620,2820,2830,2830,2740,2870,2890,2920,2930,2940,2980,2980,2990,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Estonia,EST,1338.28,1394.74,1427.05,1469.28,1502.14,1503.82,1515.37,1552.06,1569.86,1579.27,1560.55,1578.05,1616.74,1640.64,1657.07,1667.05,1696.62,1669.97,1692.1,1760,1720,1800,1590,1270,1170,1040,940,900,860,750,720,740,700,710,700,690,680,670,650,650,650,660,670,690,700,630,640,640,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Eswatini,SWZ,623.98,637.03,651.39,652.55,671.07,677.93,676.56,684.7,700.87,696.74,690.12,667.57,672.77,636.51,665.88,675.11,662.75,657.5,698.54,710,730,750,630,640,660,660,650,640,610,600,530,560,610,610,620,570,610,600,590,630,630,630,630,630,600,600,610,610,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Ethiopia,ETH,28070.2,27528.63,28240.25,26367.92,25876.47,25944.15,27332.78,26366.52,27112.02,28748.41,27274.84,28506.22,28540.9,27588.25,27978.77,29522.72,28308.18,27933.85,29976.93,34430,34610,35480,31430,31700,31730,33190,34400,37620,37160,34960,36800,42100,40740,41380,43300,46110,51530,53920,56280,58990,57700,59840,61720,63760,65120,66960,68350,68350,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Faroe Islands,FRO,13.4,13.77,13.67,13.58,13.38,14.01,14,13.75,13.3,13.25,13.07,12.93,13.05,13.03,12.88,12.82,13.07,13.13,13.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Fiji,FJI,338.5,342.51,347.79,367.27,388.16,380.62,394.84,384.68,415,423.24,428.39,440.85,439.94,462.51,481.39,496.97,508.02,518.42,523.16,600,610,620,670,700,730,720,720,710,690,690,700,670,660,660,660,660,670,660,660,650,650,650,650,660,200,210,230,230,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Finland,FIN,3328.66,3281.34,3299.98,3260.31,3175.85,3175.22,3120.42,3152.83,3123.21,3161.07,3129.23,3077.99,3034.91,2925.25,2864.93,2826.01,2724.67,2617,2560.33,3390,3220,3130,3090,3050,2910,2890,2900,2830,2740,2670,2620,2600,2560,2480,2450,2440,2380,2360,2340,2350,2320,2310,2310,2310,2310,2300,2240,2210,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,France,FRA,38480.06,38729.54,39699.11,41004.83,41447.2,41612.96,41723.58,42048.2,42694.57,43123.92,43064.29,43031.77,43243.11,43399.64,42658.38,42850.46,41230.94,40403.03,40405.79,50390,48970,47870,47340,47360,47310,47140,46460,46100,45990,48120,48020,46780,45350,44770,44430,44310,44840,45030,44430,43900,42900,42640,42780,42900,42980,42780,42080,41380,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,French Polynesia,PYF,17.76,16.93,16.11,15.3,15.79,16.05,16.42,16.84,16.91,18.2,22.48,21.32,19.59,20.88,23.68,23.28,21.34,21.29,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Gabon,GAB,25.18,27.51,28.54,25.8,28.17,31.98,36.5,40.27,45.56,42.22,40.31,42.68,42.5,39.69,45.11,51.85,58.75,56.5,61.83,170,170,170,180,180,180,130,140,140,140,130,120,140,160,200,170,200,200,230,170,190,230,220,230,190,200,210,220,180,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Gambia, The",GMB,404.03,387.52,381.44,369.55,382.41,390.23,408.39,391.28,379.12,426.68,424.65,442.89,384.75,361.47,362.59,379.36,394.77,400.6,400.66,490,500,490,470,510,520,540,500,520,510,530,480,460,520,570,600,620,610,720,990,1070,750,850,900,930,920,920,920,940,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Georgia,GEO,2239.76,2333.84,2388.94,2455.37,2531.93,2548.89,2567.07,2580.76,2606.55,2620.28,2622.64,2563.9,2517.03,2577.55,2577.88,2595.65,2653.4,2607.47,2602.4,1510,1480,1280,1160,1130,1150,1170,1190,1210,1280,1350,1360,1410,1450,1410,1420,1330,1240,1210,1180,1210,1230,1350,1380,1420,1190,1200,1160,1100,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Germany,DEU,39138.76,38851.47,39349.82,40330.11,40583.19,40662.33,40785.98,41695.51,42351.67,42691.32,43005.56,42957.17,43290.82,44075.42,44293.85,44479.89,43607.26,42764.12,42444.96,52060,48570,43370,41880,41310,41150,40770,40600,39390,38850,37960,37670,37050,36020,35030,34830,34060,34070,34700,34620,34200,33950,33980,34270,34570,34260,33840,33560,32610,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Ghana,GHA,2741.74,2799.15,2966.28,2436.39,2592.57,2642.9,3237.88,2738.73,2876.32,3510.47,3003.02,3264.67,2963.42,3061.02,2803.02,2857.64,3037.25,2755.72,3130.98,3520,3680,3610,3620,3650,3690,3920,4000,4550,3970,4570,4010,3960,4270,3870,4750,4480,4260,4340,4220,4430,4920,4600,4970,4920,5160,5250,5260,5160,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Greece,GRC,3864.74,3964.21,4177.43,4553.57,4554.16,4501.03,4373.59,4222.48,4147.51,4097.13,4021.68,3916.17,3865.53,3791.71,3753.7,3750.42,3762.08,3791.43,3763.8,4700,4590,4530,4580,4610,4650,4700,4710,4690,4650,4680,4610,4620,4580,4700,4600,4590,4690,4630,4630,4700,4640,4630,4400,4300,4210,4200,4220,4390,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Greenland,GRL,5.64,5.89,3.5,3.6,3.4,3.33,2.46,2.97,3.1,3.42,3.93,4.01,3.83,3.61,3.59,3.59,3.62,3.62,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Grenada,GRD,10.4,9.06,9.48,8.87,8.04,9.57,10.43,11.48,11.21,10.93,10.85,10.58,10.18,9.52,8.72,8,7.52,7.26,7.29,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guam,GUM,7.74,7.76,7.67,6.63,6.66,4.92,5.13,5.19,5.3,5.14,5.28,4.81,5.05,4.91,4.63,4.45,4.38,4.5,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guatemala,GTM,2242.2,2410.14,2368.45,2231.51,2194.65,1882.91,2062.37,2128.22,2277.18,2650.03,2725.22,2736.86,2884.84,2807.97,2824.68,2799.66,2847.98,2911.76,2851.87,3360,3440,3670,3900,3770,3770,3750,3810,3810,3990,4010,4170,4320,4120,4180,4450,4450,4810,5000,5300,5480,5440,5540,5620,5820,5970,6120,6220,6270,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guinea,GIN,3997.64,3948.24,4334.4,3823.27,3989.99,4062.37,4393.41,3719.21,3802.95,4862.17,4341.4,4692.87,4461.01,4410.33,3828.83,3328.99,3372.68,3085.67,3427.57,3980,4140,4310,4500,4720,4940,4670,4830,5300,5200,5540,5870,6440,6530,6580,7300,7460,7670,7940,8260,10020,10670,11400,11640,11900,12030,13240,13360,13440,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guinea-Bissau,GNB,445.21,454.09,487.17,502.73,621.69,691.28,686.24,572.63,592.45,645.32,714.3,945.44,838.71,762.08,596.67,586.11,588.87,579.96,638.1,700,700,720,730,740,760,730,710,710,770,780,910,930,930,880,870,950,960,930,990,1040,1020,1120,1110,1060,1130,1150,1190,1190,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Guyana,GUY,1319.17,1128.79,1225.05,1445.86,1616.38,1271.35,1538,1346.96,1027.02,1087.04,999.97,1073.11,886.49,975.16,812.02,858.35,815.22,787.9,756.6,630,830,890,1010,990,1190,1180,1220,1120,1220,1000,1050,940,1110,1000,940,900,930,1020,1060,1110,1170,1200,1340,1480,1540,1230,1380,1330,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Haiti,HTI,1723.36,1771.48,1720.54,1673.55,1635.56,1630.02,1639.67,1730.38,1750.75,1834.2,1905.61,1965.93,1980.57,2006.81,1961.23,1907.39,1835.96,1801.71,1754.8,2150,2300,2650,2510,2490,2500,2520,2660,2670,2700,2920,2930,2950,2970,2950,2960,2950,2970,2960,2980,2990,3010,3010,3020,3000,3020,3080,3090,3100,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Honduras,HND,2044.01,2071.05,2092.02,2285.84,2339.02,2316.59,2404.49,2409.23,2559.95,2551.85,2521.04,2706.53,3042.38,3238.7,3198.65,3161.89,3163.24,3083.76,2950.06,3850,3820,3760,3340,3640,3380,3370,3270,3110,2760,2860,2980,3340,3990,3900,4110,3970,4010,4090,4290,4310,4350,4340,4420,4460,4420,4500,4510,4610,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Hungary,HUN,6028.64,5798.39,5695.7,5924.74,6151.63,5828.86,6012.02,6206.15,6299.24,6248.22,6263.44,6361.19,6401.82,6413.48,6270.95,5842.3,5823.22,5656.37,5656.2,5000,4880,4300,3730,3290,2960,3070,3020,2910,2990,2950,2820,2780,2800,2760,2640,2590,2540,2500,2450,2400,2360,2290,2410,2440,2470,2500,2490,2510,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Iceland,ISL,243.78,259.76,273.35,279.9,281.67,277.98,281.62,287.36,284.31,261.56,267.5,255.98,256.84,263.37,266.94,260.08,248.94,244.41,241.61,330,330,320,320,320,310,320,320,320,320,310,300,290,290,280,290,300,300,300,310,310,310,300,290,310,320,310,310,310,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,India,IND,308106.48,305906.96,310670.97,310730.07,316067.84,314999.22,321283.96,324434.53,324804.2,330157.52,334751.99,333773.22,344316.2,347300.16,349208.19,353305.56,348474.46,358638.62,362918.71,433940,437560,440170,443690,446370,448120,451530,452400,456390,457740,456450,458380,449350,454750,459040,470030,476480,485860,490360,481090,484130,487580,484400,487510,487660,485980,491010,494260,498490,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Indonesia,IDN,76270.31,74216.17,75781.37,75843.76,75012.85,73778.64,74511.23,76226.17,75660.98,76393.67,77370.46,83162.9,79958.4,80747.62,80726.94,82988.38,84017.37,79765.08,81792.85,78110,77380,82720,81360,80940,84930,85980,83970,85890,85860,84300,82830,84080,82620,85320,84400,85140,87380,89110,93440,96370,97180,100530,98210,101410,104280,109840,113900,115040,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Iran, Islamic Rep.",IRN,12117.71,12359.53,12939.19,13175.79,13190.8,13092.28,13208.96,13400.4,13250.9,13654.05,14022.24,13904.37,14049.66,14699.58,15508.13,16239.77,16240.47,15708.88,17710.49,21390,20870,22460,22630,22860,23220,23860,23890,24540,24060,23280,23040,22590,22740,23020,23370,23490,23550,20990,21340,21600,20800,21010,20880,16000,16970,17640,17020,17290,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Iraq,IRQ,4548.11,4295.19,3907.94,3545.93,3335.01,3431.29,3525.96,3372.93,3374.75,3469.76,3528.95,3460.35,3360.59,3167.14,3053.45,3017.48,3145.1,3068.43,3220.25,3940,2840,3290,3890,3990,3780,3050,3400,3570,3470,3410,3350,3440,2710,2980,3430,3550,3720,3800,4460,4520,4760,4890,4610,4620,3390,3540,3700,3780,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Ireland,IRL,8543.45,8615.8,9154.3,9667.06,9734.67,9508.4,9655.61,9882.99,9835.2,9891.79,9474.05,9554.73,9769.36,9942.78,10088.18,10054.49,9945.09,9991.77,10257.36,13360,13590,13650,13750,13780,13830,13950,14250,14630,14750,15240,15230,15080,14990,14990,14700,14640,14410,14320,14240,13770,13700,14230,14460,14640,14830,15450,15730,15790,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Israel,ISR,408.53,420.47,454.56,485.77,525.28,551.22,561.38,563.53,562.56,558.2,542.42,573.73,603.72,621.2,628,654.58,686.33,733.4,737.93,420,410,420,430,460,460,460,450,460,460,470,460,440,450,440,450,490,490,510,490,520,530,530,550,570,590,580,590,610,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Italy,ITA,20212,20081.32,20309.11,19772.26,19357.38,19763.62,20240.41,20239.66,20440.04,20567.78,20496.62,20615.73,19364.11,21284.44,21322.28,21095.19,20958.57,20987.66,20874.04,27730,25960,25510,24570,24390,23700,23850,23630,23470,23540,23660,21060,22350,21680,21830,21220,21200,21170,21480,21520,21640,20940,21110,20580,20390,20490,20820,20830,20500,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Jamaica,JAM,421.77,417.55,417.22,421.1,428.85,432.94,432.1,423.08,421.88,443.44,426.85,460.31,514.65,548.44,513.39,564.47,568.34,546.9,541.81,650,690,750,750,720,740,700,670,670,670,670,670,660,710,640,610,390,360,350,340,340,340,350,350,340,340,310,300,290,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Japan,JPN,55800.57,54118.29,53255.28,54430.33,54415.15,54334.15,53978.64,50747.51,49969.69,47905.03,46215.56,45689.22,45622.27,46040.2,45895.88,45045.35,42535.29,41606.36,41179.08,19000,18980,19380,19590,19890,19240,18350,18110,17260,17110,16900,16460,16390,16220,16330,16220,16110,16030,15800,15790,15720,15190,15100,15110,14830,14330,14120,14050,14080,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Jordan,JOR,183.13,194.22,221.93,203.17,202.25,163.49,182.03,188.11,213.67,193.82,227.14,224.69,212.54,212.4,236.31,204.4,239.42,256.21,277.95,350,430,540,570,480,490,460,420,370,390,340,340,350,360,360,410,410,470,570,490,480,490,490,510,560,560,650,610,580,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Kazakhstan,KAZ,21745.46,22288.73,22617.92,23136.48,23757.23,23753.01,23705.27,24115.23,24467.12,24534.43,24501.95,24648.87,24858.63,25398.95,25511.82,25512.18,25890.64,25513.48,25784.92,25890,25380,22270,22260,21960,18790,15920,13400,11200,9880,9860,10390,14730,12160,13490,14120,14940,13930,14600,13970,15880,13980,13830,12870,14250,15160,14440,17780,15970,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Kenya,KEN,8399.34,8602.99,8691.68,8777.12,8869.7,8706.01,8866.32,9646.73,10612.95,9561,9362.82,10333.05,11562.33,11929.43,11667.38,11816.06,11740.66,12574.75,13108.88,16540,15790,15670,15550,15580,15470,14460,14420,14700,15730,14330,14270,14960,16030,17170,16610,16130,26740,27110,25860,25960,26620,26360,25780,26140,26520,28940,26920,28370,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Kiribati,KIR,1.15,1.16,1.17,1.18,1.19,1.2,1.2,1.21,1.21,1.21,1.21,1.23,1.24,1.25,1.26,1.28,1.27,1.25,1.25,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Korea, Dem. People's Rep.",PRK,5702.66,5672.24,5974.3,6209.03,6380.49,6393.05,6527.72,6542.27,6538.81,6430.54,6523.56,6253.86,6259.48,6223.22,6241.63,6237.39,6235.53,6229.75,5900.46,4580,4390,4340,4280,4260,4100,3750,3780,3780,3880,3730,3930,4000,4020,4000,4040,4040,4030,3970,3990,3990,4020,4020,3900,3790,3530,3550,3600,3580,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Korea, Rep.",KOR,16300.96,16285.31,16254.78,16725.39,16559.27,16071.49,16175.34,16219.58,16051.2,15576.98,15137.11,15054.51,16125.04,16606.04,17024.1,16659.23,16100.71,15430.85,15257.09,9740,9730,9830,10110,10100,10150,10410,10320,9950,9490,9130,9010,8870,8740,8840,8890,9000,9190,9320,9540,9720,9390,9650,9400,9140,9240,9210,9200,9290,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Kuwait,KWT,31.92,32.72,31.62,34.63,36.65,38.77,43.22,58.78,82.55,82.19,65.06,61.64,60.01,69.18,81.54,66.82,78.48,73.2,72.8,80,20,20,50,60,80,100,110,110,120,140,90,120,130,120,110,120,130,140,150,140,140,140,140,160,160,170,180,190,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Kyrgyz Republic,KGZ,3734.47,3821.13,3856.91,3958.08,4047.64,4011.12,3989.79,4042.27,4080.4,4103.89,4077.04,4112.82,4153.83,4246.68,4250.29,4247.37,4309.38,4247.81,4291.77,3450,3390,3230,3040,2790,2300,2140,2050,2120,2170,2220,2240,2280,2310,2290,2360,2440,2530,2630,2860,2940,3030,3100,3210,3320,3370,3460,3540,3640,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Lao PDR,LAO,4678.96,5034.24,5823.13,4564.86,4488.48,3793.09,4855.64,5409.26,5475.36,6266.43,5901.7,5883.55,7890.91,5651.39,5276.2,5683.4,6263.01,5355.58,4787.77,4540,4420,4610,4630,4910,4900,4900,5090,4770,4720,4960,5140,5230,5350,5570,5450,5480,5690,5820,6050,6420,6190,6750,6730,6880,7060,7330,7290,7080,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Latvia,LVA,2485.1,2563.73,2634.73,2720.9,2802.84,2810.61,2832.09,2896.11,2926.91,2926.39,2924.65,2957.38,3018.52,3089.11,3145.82,3185.18,3236.35,3187.8,3248.75,2930,2870,3490,2940,1870,1600,1540,1450,1360,1250,1090,1070,1110,1120,1060,1050,1070,1050,1080,1030,1020,1030,1030,1040,1070,1090,1080,1060,1040,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Lebanon,LBN,164.66,165.01,153.98,142.61,118.76,95.07,104.51,139.53,133,145.38,144.2,142.84,135.2,134.09,136.44,142.94,148.63,147.65,152.03,170,190,190,190,190,180,200,200,200,200,200,190,200,200,200,210,210,200,210,200,180,240,240,250,250,240,240,240,240,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Lesotho,LSO,714.38,691.31,683.57,708.85,726.91,710.3,629.42,636.75,669.23,724.83,731.75,749.84,719.23,708.5,740.22,747.44,877.52,864.45,808.51,850,860,960,930,890,850,820,790,730,1050,1000,990,880,910,870,960,910,940,900,910,890,910,910,840,820,810,790,870,820,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Liberia,LBR,151.85,155.86,164.38,166.51,164.33,169.76,177.42,167.87,173.69,180.62,181.28,187.68,197.12,194.32,190,190.18,191.81,187.15,191.93,170,150,150,130,130,130,120,140,150,150,140,140,140,150,140,140,160,170,180,310,220,220,220,210,240,300,260,240,230,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Libya,LBY,599.35,604,691.54,714.29,888.45,947.88,828.32,867.5,1078.69,1074,913.81,1110.19,1123.7,1093.79,1093.83,1019.8,941.46,964.29,1043.62,1250,1220,1170,1130,1100,1130,1180,1100,1180,1070,930,980,1010,1100,1190,1270,1390,1460,1460,1520,1580,1580,1580,1600,1590,1580,1620,1640,1650,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,10,20,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Lithuania,LTU,3826.06,3939.19,4020.05,4119.82,4245.35,4255.22,4297.81,4397.86,4472.02,4450.51,4477.7,4508.28,4589.87,4683.58,4744.57,4793.68,4867.52,4790.44,4871.55,5080,4980,5440,4350,3700,3270,3100,3090,2970,2740,2540,2240,2270,2330,2380,2340,2340,2380,2230,2160,2110,2100,2050,1980,1930,1970,1920,1840,1780,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Luxembourg,LUX,605.25,608.76,627.35,650.9,657.34,665.31,674.36,688.45,705.98,719.24,728.76,725.66,738.72,744.46,753.91,753.38,762.6,766.56,769.68,460,460,450,450,450,460,450,440,440,460,430,430,420,400,400,400,390,400,410,410,420,410,400,410,420,430,440,440,430,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Madagascar,MDG,11111.32,11455.44,11835.32,11762.42,12198.39,11934.93,12763.15,13361.38,13995.46,13826.93,13519.97,13745.19,13637.26,13037.77,12949.01,12901.31,13185.22,12496.78,12812.29,15680,15590,15770,16030,15660,15730,15720,15670,16090,15890,15630,14710,13700,14660,14070,16020,15520,16240,15690,16080,16080,15460,15890,14470,14670,14460,14940,13610,14510,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Malawi,MWI,1212.97,1383.58,1483.01,1361.57,1592.88,1508.42,1714.33,1808.5,2291.77,1922.69,1721.83,1945.67,1947.25,1642.61,1763.37,1717,2222.54,1530.48,1683.22,1120,1110,1110,1120,1030,1050,1090,1050,1160,1130,1200,1180,1220,1300,1260,1330,1360,1480,1650,1700,1910,2010,2160,2260,2390,2570,2740,2830,3200,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Malaysia,MYS,7675.82,8098.25,8371.04,7508.53,7585.04,7397.98,7722.94,6818.07,7740.73,7791.26,7437.52,7121.76,8142.64,6558.82,6465.94,6575.53,7110.94,6591.36,6035.25,4820,4620,4650,4790,5030,4890,4880,4940,4850,4740,4790,4730,4710,4740,4850,4820,4680,4910,4860,4960,4960,4900,4870,4870,4640,4810,4800,4810,4730,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Maldives,MDV,0.11,0.13,0.14,0.14,0.19,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Mali,MLI,6989.19,6222.38,6012.27,5240.57,5780.69,5852.78,6136.2,5958.1,6873.58,7608.36,7548.34,8217.43,7211.57,6435.05,5868.83,6083.21,6156.31,6471.21,6743.9,8710,8670,8680,8790,8960,9190,9670,9780,10320,11010,11370,11260,11480,12000,13120,13640,13570,14160,14920,14920,16090,16370,16740,17290,17470,18060,19830,20260,20980,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Malta,MLT,33.12,31.15,31.55,30.54,33.02,38.39,40.09,39.62,39.07,35.5,33.96,34.65,37.47,41.08,42.38,44.77,46.18,47.36,48.61,90,90,100,100,100,90,90,90,80,90,90,80,80,80,80,80,80,80,80,70,70,60,60,60,60,60,60,60,60,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
